q1,q2,q3,q4,q5
-1.760949949,-3.219825857,-2.949845223,-1.022413876,2.790519675
-1.775785247,-3.229029742,-2.975922898,-1.041263432,2.809805563
-1.654135799,-3.267379264,-2.925301529,-0.988554488,2.809805563
-1.440507498,2.942175319,-2.847068504,-0.932354886,2.802387913
-1.118581518,2.845534523,-2.702874302,-0.904778684,2.759365547
-0.749182581,2.759631594,-2.50652475,-0.874409955,2.702991413
-0.399069533,2.721282073,-2.300971313,-0.850673477,2.673320815
-0.117198859,2.721282073,-2.139903321,-0.814719695,2.639199628
0.065275314,2.721282073,-1.977301348,-0.707905545,2.642166688
0.198793002,2.730485958,-1.782485777,-0.658338194,2.722277301
0.351596578,2.747359747,-1.613747881,-0.721170047,2.829091451
0.405003653,2.7350879,-1.668971192,-0.774577122,2.830574981
0.270002435,2.698272359,-1.891398419,-0.796917336,2.772717316
0.044505896,2.666058761,-2.182854785,-0.785398163,2.741563189
-0.241815368,2.647650991,-2.495786884,-0.756076632,2.633265509
-0.588961356,2.686000512,-2.764233537,-0.746302788,2.587276083
-0.964294412,2.771903441,-2.989728726,-0.725707903,2.519033709
-1.304022751,2.883884045,-3.08483554,-0.723264442,2.508649
-1.599245194,-3.29499092,-3.163068565,-0.751887842,2.522000769
-1.760949949,-3.22596178,3.026544267,-0.851371609,2.551671366
-1.832159382,-3.216757895,2.968252993,-0.923279174,2.575407844
-1.798038195,-3.244369551,2.985126783,-0.894655775,2.61694668
-1.625948731,2.972854936,2.949845223,-0.850324412,2.61694668
-1.361880415,2.879282103,2.952913185,-0.80250239,2.570957255
-1.069625032,2.770369461,3.075631655,-0.737227076,2.530901948
-0.743248462,2.672194685,-3.015806401,-0.740368669,2.533869008
-0.446542489,2.615437392,-2.851670447,-0.745604656,2.545737247
-0.183957703,2.597029622,-2.68139857,-0.758869159,2.554638426
0.062308254,2.598563603,-2.512660673,-0.760265422,2.582825494
0.284837734,2.620039335,-2.314777141,-0.7983136,2.582825494
0.496982505,2.644583029,-2.13836934,-0.851720675,2.582825494
0.498466034,2.643049048,-2.135301378,-0.861843585,2.582825494
0.353080108,2.623107297,-2.31324316,-0.848579082,2.570957255
0.11126474,2.601631564,-2.567883985,-0.816465024,2.539803128
-0.170605934,2.583223794,-2.885418026,-0.795521073,2.468593694
-0.495498975,2.59396166,3.078699616,-0.795521073,2.386999551
